MU_CODINE;MU_NOMBRE;DL_DIRECCION;DL_CP;DL_TELEFONO;DL_WEB;DL_EMAIL
03019;Aspe;PLAZA MAYOR, 1;03680;966919900;http://www.ayto-villadeaspe.es;informatica@ayto.aspe.es
03020;Balones;C/ POSTIGUET, 12;03812;965511043;http://www.balones.es;balones@balones.es
03021;Banyeres de Mariola;PLAÇA L´AJUNTAMENT, 1;03450;966567315;http://www.banyeres.es;fiscals@portademariola.com
03022;Benasau;C/ MAYOR, 40;03814;965513123;http://www.benasau.es;benasau@benasau.es
03023;Beneixama;C/ CARDENAL PAYA, 41;03460;965822101;http://www.beneixama.es;info@beneixama.es
03024;Benejúzar;PLAZA ESPAÑA, 1;03390;965356150;http://www.benejuzar.es;ayuntamiento@benejuzar.es
03025;Benferri;PLAZA CONSTITUCION, 1;03316;965369230;http://www.benferri.es;benferri_alc@gva.es
03026;Beniarbeig;PLAÇA 9 D´OCTUBRE, 1;03778;965766018;http://www.beniarbeig.org;ajuntament@beniarbeig.org
03027;Beniardá;PLAZA CONSTITUCION, S/N;03517;965885598;http://www.beniarda.es;beniarda@beniarda.es
03028;Beniarrés;C/ ROSA ESCRIG, 6;03850;965515059;http://www.beniarres.org;beniarres@diputacionalicante.es
03029;Benigembla;PLAÇA DE L´AJUNTAMENT;03794;965581067;http://www.benigembla.es;aytobenigembla@gmail.com
03030;Benidoleig;PLAZA PAÍS VALENCIÀ, 5;03759;966404205;http://www.benidoleig.es;ajuntamentbenidoleig@aixa.com
03031;Benidorm;PLAZA SS.MM. LOS REYES DE ESPAÑA, 1;03501;966815400;http://www.benidorm.org;fmarin@benidorm.org
03032;Benifallim;PLAZA CORAZON DE JESUS, S/N;03816;965513152;http://www.benifallim.es;ayto.benifallim@hotmail.com
03033;Benifato;C/ L´ESCOLA, 17;03517;965885012;http://www.benifato.es;benifato@benifato.es
03034;Benijófar;C/ JUAN RAMON JIMENEZ, 8;03178;966715401;http://www.benijofar.org;secretaria@benijofar.org
03035;Benilloba;PLAÇA L´ESGLESIA, 1;03810;965517058;http://www.benilloba.es;secretaria@benilloba.es
03036;Benillup;PLAZA IGLESIA, 1;03827;965514261;http://www.benillup.es;benillup@benillup.es
03037;Benimantell;PLAZA MAYOR, 1;03516;965885220;http://www.benimantell.es;benimantell@benimantell.es
03038;Benimarfull;PLAZA MAYOR, 2;03827;965531301;http://www.benimarfull.es;benimarfull@benimarfull.es
03039;Benimassot;PLAÇA MAJOR, 1;03812;965518038;http://www.benimassot.es;benimassot@benimassot.es
03040;Benimeli;PLAZA MAYOR, 1;03769;965587123;http://www.benimeli.es;benimeli@benimeli.es
03041;Benissa;PLAZA DEL PORTAL, 1;03720;965730058;http://www.ayto-benissa.es;alcaldia@ajbenissa.es
03042;Poble Nou de Benitatxell (El)/Benitachell;C/ MAYOR, 5;03726;966493369;https://www.elpoblenoudebenitatxell.com;info@elpoblenoudebenitatxell.org
03043;Biar;PLAZA CONSTITUCION, 1;03410;965810833;http://www.biar.es;secretaria1@biar.es
03044;Bigastro;PLAZA CONSTITUCION,1;03380;965350000;http://www.bigastro.es;ayuntamiento@aytobigastro.es
03045;Bolulla;AVDA. CONSTITUCION, 12;03518;965881432;http://www.bolulla.es;aytobolulla@gmail.com
03046;Busot;PLAZA DEL AYUNTAMIENTO, 1;03111;965699092;http://www.busot.es;busot@busot.es
03047;Calp;AV. DE IFACH, 16;03710;965833600;http://www.calp.es;alcaldia@ajcalp.es
03048;Callosa d'en Sarrià;PLAZA DE ESPAÑA, 1;03510;965880050;http://www.callosa.es;memontiel@callosa.es
03049;Callosa de Segura;PLAZA ESPAÑA, 1;03360;965310550;http://www.callosadesegura.es;info@callosadesegura.es
03050;Campello (el);C/ ONCINA GINER, 7;03560;965637200;http://www.elcampello.es;secretaria@elcampello.org
03051;Campo de Mirra/Camp de Mirra (el);PLAZA DE ESPAÑA, 8;03469;965820234;http://www.almirra.com;info@elcampdemirra.es
03052;Cañada;PLAZA MAYOR, 1;03409;965820001;http://www.canyada.net/;canyada@dip-alicante.es
03053;Castalla;PLAÇA MAJOR, 1;03420;966560801;http://www.castalla.org;dpto.secretaria@castalla.org
03054;Castell de Castells;C/ MAYOR, 13;03793;965518067;http://www.castelldecastells.es;castelldecastells@castelldecastells.es
03055;Catral;PLAZA ESPAÑA, 1;03158;965723001;http://www.ayuntamientocatral.com;alcaldia@ayuntamientocatral.com
03056;Cocentaina;PLAÇA DE LA VILA, 1;03820;965590051;http://www.cocentaina.es;ajuntament@cocentaina.org
03057;Confrides;C/ ABAJO, 1;03817;965885804;http://www.confrides.es;confrides@confrides.es
03058;Cox;PLAZA GLORIETA, 1;03350;965360000;http://www.convega.com/aytocox/;aytocox@gmail.com
03059;Crevillent;C/ MAJOR, 9;03330;965401526;http://www.crevillent.es;ayuntamiento@crevillent.es
03060;Quatretondeta;PZA. CONSTITUCION, 8;03811;965511094;http://www.quatretondeta.es;quatretondeta@quatretondeta.es
03061;Daya Nueva;AV. CONSTITUCION, 1;03159;965700641;http://www.dayanueva.es;administrativo@dayanueva.es
03062;Daya Vieja;PLAZA DEL LEON, 2;03177;966715481;http://www.dayavieja.es;contratacion@dayavieja.es
03063;Dénia;PLAÇA CONSTITUCIO, 10;03700;965780100;http://www.denia.es;alcaldia@ayto-denia.es
03064;Dolores;PL. GENERAL LLOPIS, 1;03150;965726526;http://www.aytodolores.es;secretaria@dolores.es
03065;Elche/Elx;PLAÇA BAIX;03202;966658000;http://www.elche.es;alcaldia@ayto-elche.es
03066;Elda;PLAZA CONSTITUCION, 1;03600;965380402;http://www.elda.es;alcaldia@elda.es
03067;Facheca;C/ SALAMANCA, 2;03813;965518002;http://www.facheca.es;ayuntamiento@facheca.es
03068;Famorca;C/ SALAMANCA, 2;03813;965518018;http://www.famorca.es;famorca@famorca.es
03069;Finestrat;PLAZA DEL AYUNTAMIENTO, 1;03509;965878100;http://www.finestrat.es;alcaldia@finestrat.org
03070;Formentera del Segura;PLAZA DEL AYUNTAMIENTO, 1;03179;966792301;http://www.formenteradelsegura.es;alcaldia@formenteradelsegura.es
03071;Gata de Gorgos;C/ DUQUESA D´ALMODOVAR, 3;03740;965756089;http://www.gatadegorgos.org;secretaria@gatadegorgos.es
03072;Gaianes;PLAZA MAYOR, 1;03840;965515130;http://www.gaianes.es;gaianes@gaianes.es
03073;Gorga;C/ MAYOR, 47;03811;965511001;http://www.gorga.es;ayuntamiento@gorga.es
03074;Granja de Rocamora;PLAZA DE SAN PEDRO, 1;03348;965360401;http://www.aytogranja.com;carmen@aytogranja.com
03075;Castell de Guadalest (El);PLAZA SAN GREGORIO, 1;03517;965885095;http://www.guadalest.es;secretaria@guadalest.es
03076;Guardamar del Segura;PLAZA CONSTITUCION, 5;03140;965729014;http://www.guardamardelsegura.es;secretaria.ayto.guardamar@gmail.com
03077;Hondón de las Nieves/Fondó de les Neus (El);PLAZA DE LA VILLA, 1;03688;965480201;http://www.fondoneus.es;ayuntamiento@fondoneus.es
03078;Hondón de los Frailes;C/ JUAN CARLOS I, 21;03689;965482001;http://www.hondondelosfrailes.es;info@hondondelosfrailes.es
03079;Ibi;CARRER LES ERES, 48;03440;965552450;http://www.ibi.es;info@ibi.es
03080;Jacarilla;PLAZA DE ESPAÑA, 1;03310;965350375;http://www.jacarilla.es;ayuntamiento@jacarilla.es
03081;Xaló;C/ MAURI, 5;03727;966480101;http://www.xalo.org;info@xalo.org
03082;Xàbia/Jávea;PLAZA DE LA IGLESIA, 4;03730;965790500;http://www.ajxabia.com;alcaldia@ajxabia.org
03083;Xixona/Jijona;AV. DE LA CONSTITUCIO, 6;03100;965610300;http://www.xixona.es;info@xixona.es
03084;Orxa (L')/Lorcha;CARRER POU, 58;03860;966511064;http://www.lorcha.es;lorcha@lorcha.es
03085;Llíber;PLAZA MAYOR, 1;03729;965730509;http://www.lliber.org;registro@lliber.org
03086;Millena;PLAÇA L´ESGLESIA, 1;03812;965511072;http://www.millena.es;millena@millena.es
03088;Monforte del Cid;PLAZA DE ESPAÑA, 1;03670;965620025;http://www.monfortedelcid.es;info@monfortedelcid.es
03089;Monòver/Monóvar;PLAÇA DE LA SALA, 1;03640;966960311;http://www.monovar.es;ayuntamiento@monovar.es
03090;Mutxamel;AVDA. CARLOS SOLER, 46;03110;965955910;http://www.mutxamel.org;alcaldiarespon@mutxamel.org
03091;Murla;PLAZA MAYOR ,19;03790;965581001;http://www.murla.es;ayuntamiento@murla.es
03092;Muro de Alcoy;PLACETA MOLINA, 4;03830;965530557;http://www.vilademuro.net;secretaria@vilademuro.net
03093;Novelda;PLAZA ESPAÑA, 1;03660;965602690;http://www.ayto-novelda.es;secretaria@novelda.net
03094;Nucia (la);PLAÇA MAJOR, 1;03530;965870700;http://www.lanucia.es;info@lanucia.es
03095;Ondara;PLAÇA CONVENT, 2;03760;965766000;http://www.ondara.org;ajuntament@ondara.org
03096;Onil;PLAZA MAYOR, 1;03430;966544745;http://www.onil.es;alcaldia@onil.es
03097;Orba;CARRER BON AIRE, 12;03790;965583001;http://www.orba.es;alcaldia@orba.es
03098;Orxeta;PLAZA DR. FERRANDIZ, 9;03579;966855080;http://www.orxeta.es;ayuntorxeta@hotmail.com
03099;Orihuela;PLAZA MARQUES DE ARNEVA, 1;03300;966736864;http://www.aytoorihuela.com;alcaldia@orihuela.es
03100;Parcent;CARRER DE L´AJUNTAMIENT, 11;03792;966405301;http://www.parcent.es;parcent_ayt@gva.es
03101;Pedreguer;C/ AYUNTAMIENTO, 7;03750;965760669;http://www.pedreguer.es;ajuntament@pedreguer.es
03102;Pego;PLAZA DEL AYUNTAMIENTO, 1;03780;965570011;http://www.pego.es;secretaria@pego.org
03103;Penàguila;PLAÇA L´EGLESIA, 1;03815;965513001;http://www.penaguila.es;ajuntament@penaguila.org
03104;Petrer;PLAÇA BAIX, 1;03610;966989400;http://www.petrer.es;ycespedes@petrer.es
03105;Pinoso/Pinós (El);PLAZA DE ESPAÑA, 1;03650;902190900;http://www.pinoso.org;ayuntamiento@pinoso.org
03106;Planes;PLAÇA DALT VILA, 1;03828;965514038;http://www.ajuntamentdeplanes.es;planes@dip-alicante.es
03107;Polop;C/ SAGI-BARBA, 34;03520;965870150;http://www.polop.org;ayto@polop.org
03109;Rafal;PLAZA DE ESPAÑA, 1;03369;966752267;http://www.rafal.es;ayuntamiento@rafal.es
03110;Ràfol d'Almúnia (El);C/ MAJOR, 6;03769;965587168;http://www.rafol.org;ajuntament@rafol.org
03111;Redován;PLAZA AYUNTAMIENTO, 1;03370;966754025;http://www.redovan.es;admon@redovan.es
03112;Relleu;C/ EVARISTO MANERO MOLLÁ, 32;03578;966856041;http://www.relleu.org;ajuntament@relleu.org
03113;Rojales;C/ MALECON DE LA ENCANTA, 1;03170;966715001;http://www.rojales.es;secretaria@rojales.es
03114;Romana (la);PLAZA DE GOMEZ NAVARRO, 1;03669;965696001;http://www.aytolaromana.es;aytolaromana.laroman@aytolaromana.es
03115;Sagra;PLAÇA PAÌS VALENCIÀ, 10;03795;965587008;http://www.sagra.es;ajuntamentsagra@gmail.com
03116;Salinas;PLAZA DE ESPAÑA, 8;03658;965479001;http://www.salinas.es;ayuntamiento@salinas.es
03117;Sanet y Negrals;AV. AYUNTAMIENTO, 18;03769;966408208;http://www.sanetynegrals.es;sanetynegrals.ayt@cv.gva.es
03118;San Fulgencio;PLAZA DE LA CONSTITUCION, 26;03177;966794201;http://www.ayto-sanfulgencio.es;secretariageneral@ayto-sanfulgencio.es
03119;Sant Joan d'Alacant;PLAZA DE ESPAÑA, 1;03550;965653245;http://www.santjoandalacant.es;alcaldia@santjoandalacant.es
03120;San Miguel de Salinas;C/ 19 DE ABRIL, 36;03193;965720001;http://www.ayuntamientosanmiguel.com;ayunsanmiguel@terra.es
03121;Santa Pola;PLAZA CONSTITUCION, S/N;03130;965411100;http://www.santapola.es;alcaldia@santapola.es
03122;Sant Vicent del Raspeig/San Vicente del Raspeig;PLAÇA DE LA COMUNITAT VALENCIANA, 1;03690;965675065;http://www.raspeig.es;civic@raspeig.org
03123;Sax;PLAZA CONSTITUCION, 1;03630;965474006;http://www.sax.es;ayuntamiento@sax.es
03124;Sella;PLAZA MAYOR, 8;03579;965879001;http://www.sella.es;sella@sella.es
03125;Senija;PLAZA AYUNTAMIENTO, 3;03729;965731374;http://www.senija.es;josepajuntsenija@gmail.com
03127;Tárbena;C/ SAN MIGUEL, 1;03518;965884234;http://www.tarbena.es;ajuntament@tarbena.es
03128;Teulada;AV. SANTA CATALINA, 2;03725;965740158;http://www.teulada-moraira.org;sgarcia@teuladamoraira.org
03129;Tibi;PLAZA ESPAÑA, 1;03109;965617102;http://www.tibi.es;ajuntament@tibi.es
03130;Tollos;C/ LLIDONER, 1;03813;965518052;http://www.tollos.es;tollos@tollos.es
03131;Tormos;PLAZA DEL AYUNTAMIENTO, 1;03795;965587569;http://www.tormos.es;tormos@tormos.es
03132;Torre de les Maçanes (La)/Torremanzanas;AV. DE ESPAÑA, 3;03108;965619386;http://www.torremanzanas.es/;torremanzanas@torremanzanas.es
03133;Torrevieja;PLAZA DE LA CONSTITUCION, 1;03180;965710166;http://www.torrevieja.es;tvalcaldia@cv.gva.es
03134;Vall d'Alcalà (la);PLAZA OBISPO VILAPLANA, 3;03788;965514300;http://www.lavalldalcala.es;valldealcala@hotmail.com
03135;Vall d'Ebo (La);PLAZA MAYOR, 2;03789;965571413;http://www.lavalldebo.org;valldebo@valldebo.es
03136;Vall de Gallinera;CARRETERA, 35;03787;966406553;http://www.valldegallinera.es;ajgallinera@gmail.com
03137;Vall de Laguart (La);C/ MAYOR, 11;03791;965580001;http://www.lavalldelaguar.es;ajuntament@lavalldelaguar.es
03138;Verger (el);C/ CERVANTES, 10;03770;965750125;http://www.elverger.es;informacio@elverger.es
03139;Vila Joiosa (La)/Villajoyosa;C/ MAYOR, 14;03570;966851001;http://www.villajoyosa.com;alcaldia@villajoyosa.com
03140;Villena;PLAZA SANTIAGO, 2;03400;965801150;http://www.villena.es;alcaldia@villena.es
03200;LLOSA DE CAMATXO (LA);C/ DENIA, 33;03759;966482159;;lallosa@aixa.com
03201;XARA (LA);C/ MAYOR, 14 - 1º;03709;966425129;http://www.eatimlaxara.es;alcaldia@laxara.org
03202;JESUS POBRE;PL. POU DE LA MURTERA, 1;03749;965756611;http://www.jesuspobre.es;eatim@jesuspobre.es
03901;Poblets (els);AV. JAIME, 1;03779;966474399;http://www.elspoblets.es;ajuntament@els-poblets.org
03902;Pilar de la Horadada;C/ RAMON Y CAJAL, 23;03190;965352225;http://www.pilardelahoradada.org;ayto@pilardelahoradada.org
03903;Montesinos (Los);PLAZA DEL AYUNTAMIENTO, 1;03187;966721087;http://www.losmontesinos.es;secretario@losmontesinos.org
03904;San Isidro;PLAZA DEL AYUNTAMIENTO, 1;03349;965485671;http://www.sanisidro.es;informacion@sanisidro.es
